,30000_sock0,30000_sock1,25000_sock0,25000_sock1,17500_sock0,17500_sock1,27500_sock0,27500_sock1,15000_sock0,15000_sock1,22500_sock0,22500_sock1,20000_sock0,20000_sock1
0,   40.09,   68.81,   66.49,  100.40,   71.53,  163.94,   70.28,  154.26,   54.66,   61.51,   39.70,   70.88,   48.63,  104.79
1,   65.20,  373.03,  385.66,   75.96,   99.32,  387.30,  357.79,   65.97,  377.31,  106.92,   65.90,  370.76,  372.18,   62.55
2,   74.48,  553.90,  430.22,   56.86,   64.29,  463.42,  408.85,   44.70,  438.68,   91.35,   53.49,  496.73,  445.44,  117.64
3,   32.56,  441.55,  424.25,   97.76,   82.59,  521.92,  414.59,   62.31,  427.56,   90.64,   30.44,  438.83,  403.94,   45.00
4,  106.10,  463.04,  408.40,   64.37,   21.95,  431.19,  402.02,   50.09,  445.29,  133.32,   24.49,  425.65,  420.14,   73.77
5,   38.26,  463.77,  444.92,   86.69,   37.64,  504.38,  438.93,  155.26,  454.53,   74.10,   27.16,  425.60,  418.61,   75.08
6,   66.09,  480.65,  443.55,  101.43,   27.08,  436.58,  405.88,   33.12,  442.55,  109.41,   30.24,  467.50,  438.32,   83.49
7,   37.63,  486.40,  425.95,   65.58,   30.42,  456.21,  406.69,   55.83,  429.61,   79.30,   27.42,  471.70,  450.73,  115.60
8,   27.28,  434.41,  424.03,   65.41,   30.39,  450.13,  404.29,   38.16,  416.41,   52.17,   39.13,  444.04,  450.35,   90.53
9,   69.22,  465.05,  420.89,   51.31,   52.07,  473.11,  420.76,   53.05,  443.72,  136.59,   31.35,  451.29,  436.73,  146.86
10,   27.14,  435.80,  425.17,   81.11,   44.90,  520.50,  410.86,   40.35,  454.50,   66.58,   24.51,  435.25,  423.95,   67.99
11,   32.42,  455.45,  426.80,   51.39,   27.04,  458.73,  413.68,   79.24, 5285.17, 4630.14,   30.20,  450.79,  416.85,   51.27
12,   43.34,  509.20,  413.42,   32.21,   19.96,  437.66,  418.19,   46.03,22549.57,21277.49,   42.39,  496.04,  432.24,  100.97
13,   44.95,  467.59,  431.69,   90.02,   42.95,  478.45,  414.83,   53.97,21734.93,21278.03,   42.98,  466.50,  402.10,   42.65
14,   64.17,  460.85,  418.90,   43.29,   22.64,  441.36,  416.30,   41.55,23025.35,22529.41,   28.13,  441.18,  414.08,   84.55
15,   33.56,  455.74,  435.98,   69.13,12689.00,12509.39,  438.50,  131.35,23264.46,22692.93,   25.96,  430.55,  399.96,   38.73
16,   37.41,  444.64,  413.38,   36.82,23916.65,22848.88,  407.61,   30.22,21748.38,21057.49,   32.97,  495.03,  413.44,   72.16
17,   47.42,  492.17,  418.90,   46.89,22980.68,22066.26,  421.05,   62.95,23059.40,22489.88,   26.83,  442.88,  404.39,   53.10
18,   94.76,  448.28,  413.06,   41.53,23001.64,22094.76,  413.74,   42.71,21586.05,21305.51,   35.40,  441.86,  420.08,   59.32
19,   53.98,  445.26,  417.41,   83.03,21878.87,21281.69,  426.79,   75.79,  143.84,  165.82,   30.15,  448.81, 4337.33, 3696.46
20,   28.97,  444.60,  427.93,   72.64,22533.39,21580.73,  419.40,   87.60,,,   22.97,  438.90,22040.06,23317.33
21,   50.07,  526.40,  421.07,   84.31,22987.46,22227.61,  418.54,   61.63,,,   26.98,  448.01,20669.94,21341.41
22,   47.64,  466.68,  401.32,   70.29,22821.32,21924.94,  416.18,   48.67,,,   53.57,  536.00,20828.43,21672.60
23,   37.77,  460.38,  415.04,   66.63,22765.39,21947.70,  422.78,   75.47,,,  228.94,  457.88,21275.86,22767.75
24,   67.88,  467.72,  402.09,   54.72,23053.66,22397.21,  621.68,   50.71,,, 5709.67, 7185.18,22134.07,23560.41
25,   39.33,  461.07,  418.75,   62.66,25078.15,24277.97,  458.85,  152.03,,,23086.08,23371.85,22216.55,23267.19
26,   45.59,  497.27,  402.68,   33.20, 9804.08, 9439.12,  424.43,   37.49,,,23110.50,23124.06,20813.27,21627.72
27,   30.42,  450.76,  415.92,   60.41,   47.86,   64.42,  418.00,   79.00,,,22059.41,21901.92,21159.56,22506.05
28,   24.33,  429.33,  461.64,   97.86,,,  423.80,   61.43,,,23588.34,23650.27,22715.62,24081.10
29,   57.30,  465.42, 1251.16,  958.35,,,  483.80,  114.01,,,22688.00,22647.16,21094.19,22002.20
30,   23.78,  429.52,18449.89,19617.12,,,  424.95,  103.76,,,22846.54,23074.29,21690.39,22673.02
31,   29.72,  452.07,22521.55,23865.98,,,  408.08,   63.83,,,22156.97,21881.32,21319.98,22622.68
32,   58.77,  520.72,21469.72,22751.89,,,  407.22,   81.09,,,23506.71,23922.11,23301.35,24560.23
33,   33.57,  489.75,21126.41,22265.18,,,  408.92,   64.91,,,21871.19,21736.33,22825.21,23875.94
34,   39.27,  463.60,21082.40,22488.31,,,  415.20,   69.96,,,22284.08,22497.75,20302.09,20941.78
35,   30.20,  453.47,22756.29,23970.78,,, 1050.05,  737.17,,,23442.29,23199.01,23857.58,24999.28
36,   55.39,  495.07,22549.27,24200.52,,,19152.63,20356.31,,,22537.02,22704.71, 1456.89, 1492.02
37,   37.33,  516.27,23381.74,24887.21,,,23543.34,25025.30,,,21700.33,21405.30,,
38,   21.91,  435.48,21345.18,22902.96,,,22065.42,23666.32,,,22169.16,22130.56,,
39,   30.06,  452.59,21594.66,22977.73,,,21569.65,22946.05,,,21232.66,21451.18,,
40,   25.26,  427.77,18781.59,20082.94,,,23224.41,24640.98,,,23605.17,23359.58,,
41,   27.19,  468.28,23616.26,25065.07,,,23383.57,25151.36,,,21718.44,21681.18,,
42, 4425.90, 5291.80,22224.33,23627.33,,,23877.07,25780.37,,,24369.40,24302.47,,
43,27652.91,24784.02,21959.14,23523.96,,,22364.47,23877.59,,,21995.84,21904.48,,
44,26198.40,24334.07,22436.41,23855.52,,,21117.94,22214.30,,,23153.59,23407.06,,
45,26015.75,23902.72,20695.86,22205.61,,,23792.33,25990.43,,,24569.39,24524.38,,
46,26265.00,23673.63,21419.77,23075.27,,,22002.18,23505.20,,,22151.35,22104.56,,
47,25965.00,23616.88,22655.69,24067.24,,,23260.61,24729.62,,,18712.92,18762.22,,
48,27780.42,24458.17,21414.47,23066.75,,,25293.38,27321.66,,,  167.15,  298.51,,
49,25916.53,23497.71,19874.39,21025.23,,,23688.00,25241.02,,,,,,
50,27999.49,24522.41,21246.44,22670.05,,,20827.57,22285.50,,,,,,
51,27003.34,24707.12,22864.01,24479.62,,,22502.32,24180.51,,,,,,
52,25571.95,23392.41,22246.98,23620.74,,,22575.86,24128.70,,,,,,
53,26473.25,22977.80,21224.00,22702.60,,,22014.89,23496.34,,,,,,
54,26346.05,23903.11,23513.26,25220.91,,,23145.45,24586.96,,,,,,
55,26885.99,23605.27,21697.64,23097.23,,,23365.40,24912.74,,,,,,
56,28371.25,25750.56,23572.85,25260.91,,,22564.43,24143.17,,,,,,
57,25975.66,23562.17,22991.63,24702.32,,,22578.56,23990.14,,,,,,
58,27204.75,23860.12,22736.98,24104.12,,,21001.01,22231.25,,,,,,
59,23945.78,21857.30,22293.94,23652.82,,,23762.77,25737.04,,,,,,
60,25077.59,22300.85,19783.39,20847.82,,,23852.54,25561.37,,,,,,
61,27320.84,24639.22,20946.26,22606.46,,,24819.73,26576.69,,,,,,
62,27703.80,25444.11,,,,,23155.63,24774.71,,,,,,
63,27820.91,24369.64,,,,,24791.30,26473.00,,,,,,
64,25302.23,23194.71,,,,,23053.32,24687.85,,,,,,
65,27359.61,24127.80,,,,,23944.66,25776.60,,,,,,
66,24554.27,22424.27,,,,,23380.91,25177.26,,,,,,
67,27814.66,25333.12,,,,,23252.48,24853.21,,,,,,
68,26353.30,23010.88,,,,,24560.45,26430.88,,,,,,
69,25173.56,22796.05,,,,,22456.26,23572.10,,,,,,
70,26586.27,23709.24,,,,,24128.91,25840.39,,,,,,
71,28887.26,26254.36,,,,,23972.85,25738.01,,,,,,
72,26130.42,24157.59,,,,,22325.19,24014.29,,,,,,
73,28179.93,24881.38,,,,,20924.62,22172.48,,,,,,
74,26702.87,24266.83,,,,,20765.39,22281.91,,,,,,
75,25745.12,23324.29,,,,,24245.03,25783.30,,,,,,
76,25905.85,22942.32,,,,,24522.63,25953.42,,,,,,
77,25334.80,23162.57,,,,,24804.16,26313.20,,,,,,
78,25921.34,23099.64,,,,, 5176.75, 4887.08,,,,,,
79,27888.63,25325.06,,,,,   46.68,   68.99,,,,,,
80,25386.63,22966.04,,,,,,,,,,,,
81,27285.18,24104.80,,,,,,,,,,,,
82,25518.04,23197.95,,,,,,,,,,,,
83,26508.00,23750.36,,,,,,,,,,,,
84,25311.05,22692.08,,,,,,,,,,,,
85,26072.72,23683.22,,,,,,,,,,,,
86,26949.20,23856.66,,,,,,,,,,,,
87,26257.17,23753.18,,,,,,,,,,,,
88,26920.90,24184.08,,,,,,,,,,,,
89,26897.79,23915.12,,,,,,,,,,,,
90,25768.76,23573.81,,,,,,,,,,,,
91,26951.63,23731.09,,,,,,,,,,,,
92,26155.75,23636.92,,,,,,,,,,,,
93,26924.37,24668.49,,,,,,,,,,,,
94,27020.69,24044.14,,,,,,,,,,,,
95,26057.47,23649.67,,,,,,,,,,,,
96,26714.11,23626.92,,,,,,,,,,,,
97,26705.20,24290.41,,,,,,,,,,,,
98,29956.05,26389.09,,,,,,,,,,,,
99, 8606.80, 7991.05,,,,,,,,,,,,
